date,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
20110713,PM2.5,13,9,9,10,12,11,11,10,17,22,27,27,29,26,23,19,23,17,16,17,26,32,24,24
20110714,PM2.5,18,22,18,12,10,8,8,14,21,27,,24,26,27,30,21,22,16,18,12,13,6,13,14
20110715,PM2.5,18,12,15,14,12,3,5,11,21,17,22,21,28,25,28,26,21,19,13,17,13,18,16,16
20110716,PM2.5,18,15,17,10,13,12,15,13,8,13,16,31,26,33,25,34,24,23,15,14,8,11,17,17
20110717,PM2.5,15,8,7,8,7,12,8,13,14,18,20,15,15,15,20,20,17,17,17,16,15,19,20,19
20110718,PM2.5,14,14,13,10,11,10,15,14,18,21,21,22,21,23,27,26,22,20,16,18,14,11,11,10
20110719,PM2.5,13,13,15,13,10,12,15,28,34,41,43,41,50,53,57,45,43,37,33,26,24,23,19,14
20110720,PM2.5,12,17,18,24,21,32,29,26,27,26,30,17,24,17,28,25,25,19,11,16,14,16,17,18
20110721,PM2.5,16,18,22,22,18,14,17,15,17,20,26,29,31,29,27,32,30,30,27,22,23,16,13,8
20110722,PM2.5,9,18,13,13,8,17,17,18,18,25,32,42,44,39,32,30,31,29,24,28,30,32,27,16
20110723,PM2.5,15,18,23,20,18,22,26,24,25,27,32,28,27,35,42,43,33,28,28,27,33,31,28,18
20110724,PM2.5,21,27,29,26,20,19,22,23,30,31,33,30,27,31,37,39,37,34,36,28,24,20,26,31
20110725,PM2.5,32,34,33,29,28,22,29,27,38,37,44,47,55,54,56,51,50,49,40,39,28,32,34,31
20110726,PM2.5,31,26,33,24,23,14,24,25,29,29,33,46,54,57,47,30,18,15,13,15,13,11,15,18
20110727,PM2.5,20,16,15,15,12,9,8,7,7,10,11,17,14,20,19,18,16,13,16,15,9,11,9,14
20110728,PM2.5,15,17,14,8,9,7,12,12,18,17,22,,26,30,19,14,10,13,13,12,12,15,10,15
20110729,PM2.5,6,15,11,16,10,7,8,10,20,22,20,19,19,33,40,42,32,24,19,22,20,21,17,19
